Timestamp,CSI Data
2024-09-09 15:26:15,",0,d8:d8:66:4a:d4:1e,-44,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3280968,0,82,0,128,1,""[82,-96,4,0,-11,-2,-11,4,-12,9,-13,14,-15,17,-16,20,-17,22,-18,23,-19,23,-19,23,-18,22,-17,21,-15,19,-12,17,-9,16,-5,14,-1,14,4,15,7,15,10,16,12,17,13,19,13,20,13,22,13,22,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,3,-15,5,-17,8,-20,12,-22,15,-22,18,-21,20,-20,20,-17,20,-14,17,-11,14,-8,9,-6,4,-6,-1,-6,-7,-8,-11,-10,-15,-13,-19,-16,-21,-19,-22,-21,-22,-23,-21,-24,-20,-24,-18,-23,-16,-20,-15,-18]"""
2024-09-09 15:26:15,",1,d8:d8:66:4a:d4:1e,-44,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3298434,0,83,0,128,1,""[83,-80,4,0,-6,2,-4,5,-2,8,-1,11,0,14,1,16,1,18,1,19,1,19,1,19,1,18,1,16,1,15,2,12,3,10,4,7,6,5,8,3,10,1,12,0,13,-1,15,-1,16,-1,16,-1,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1,-10,2,-12,3,-14,5,-15,7,-16,9,-16,10,-15,11,-14,10,-11,9,-9,8,-7,5,-5,2,-4,-2,-3,-6,-3,-9,-3,-12,-4,-15,-5,-17,-6,-19,-7,-19,-8,-19,-8,-18,-9,-17,-9,-15,-8,-13,-7]"""
2024-09-09 15:26:15,",2,d8:d8:66:4a:d4:1e,-44,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3305489,0,83,0,128,1,""[83,-80,4,0,-2,23,-3,23,-4,21,-3,19,-3,17,-1,14,0,12,3,9,5,6,8,4,11,3,14,2,16,1,18,1,20,2,21,2,21,3,21,4,20,4,18,4,16,3,14,2,12,1,11,-1,10,-2,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-4,-1,-16,0,-15,1,-12,1,-9,0,-5,-3,-2,-6,0,-9,1,-13,2,-16,1,-19,0,-21,-1,-22,-3,-22,-5,-21,-6,-19,-6,-17,-6,-14,-5,-11,-4,-9,-1,-6,2,-4,5,-2,9,-1,12,-1,16,-2,18]"""
2024-09-09 15:26:15,",3,d8:d8:66:4a:d4:1e,-44,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3311810,0,83,0,128,1,""[83,-80,4,0,-6,-21,-5,-21,-4,-20,-4,-18,-4,-16,-4,-13,-5,-10,-6,-8,-7,-5,-9,-3,-11,-1,-13,1,-15,2,-17,3,-18,3,-19,2,-20,2,-19,1,-18,1,-17,0,-15,0,-13,1,-12,1,-10,3,-9,3,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,12,4,11,2,9,1,6,1,3,2,0,4,-3,6,-5,9,-7,12,-7,14,-7,16,-6,18,-5,18,-4,18,-3,17,-1,15,-1,12,-1,9,-1,6,-3,3,-4,0,-7,-2,-9,-3,-12,-4,-15,-5,-17]"""
2024-09-09 15:26:15,",4,d8:d8:66:4a:d4:1e,-44,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3320450,0,83,0,128,1,""[83,-80,4,0,-11,-1,-11,4,-12,10,-13,14,-15,18,-16,21,-17,22,-18,23,-18,24,-18,23,-17,22,-16,20,-14,19,-11,17,-8,16,-4,14,0,14,4,15,8,15,11,16,12,17,13,19,14,20,14,21,13,22,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,3,-15,5,-18,8,-20,11,-22,15,-22,18,-22,20,-20,20,-17,19,-14,17,-11,13,-8,9,-6,3,-6,-2,-6,-7,-8,-12,-10,-16,-13,-19,-16,-21,-19,-22,-21,-22,-23,-21,-24,-20,-23,-18,-22,-16,-20,-14,-17]"""
2024-09-09 15:26:15,",5,d8:d8:66:4a:d4:1e,-45,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3331075,0,83,0,128,1,""[83,-80,4,0,-16,-28,-15,-28,-14,-27,-12,-25,-11,-22,-11,-18,-11,-13,-11,-9,-13,-4,-14,0,-17,4,-19,7,-22,10,-24,11,-26,11,-28,11,-29,10,-28,9,-27,8,-25,7,-22,6,-19,6,-16,7,-14,8,-12,9,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,14,11,14,8,12,5,9,4,4,4,-1,5,-6,8,-11,11,-14,15,-16,19,-17,22,-17,24,-16,26,-14,26,-12,24,-10,22,-8,18,-6,13,-6,8,-7,3,-8,-2,-10,-6,-13,-10,-16,-13,-20,-15,-23]"""
2024-09-09 15:26:15,",6,d8:d8:66:4a:d4:1e,-44,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3338403,0,83,0,128,1,""[83,-80,4,0,7,4,9,-1,13,-6,15,-10,18,-13,20,-16,22,-17,24,-18,24,-18,24,-17,23,-16,21,-15,18,-14,15,-14,11,-13,6,-12,2,-13,-3,-14,-6,-16,-9,-18,-11,-20,-12,-21,-13,-23,-12,-24,-12,-25,-3,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1,-13,7,-16,8,-20,7,-24,6,-26,5,-28,2,-28,0,-27,-2,-24,-3,-20,-4,-16,-4,-11,-2,-6,1,-2,5,1,9,4,13,6,18,7,22,7,26,7,28,7,30,6,30,5,29,4,27,3,23,3,20]"""
2024-09-09 15:26:15,",7,d8:d8:66:4a:d4:1e,-44,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3350243,0,83,0,128,1,""[83,-80,4,0,10,-4,8,-9,7,-14,7,-19,7,-22,7,-25,8,-27,9,-28,9,-29,9,-28,9,-27,8,-25,6,-23,4,-21,2,-18,-2,-16,-6,-14,-10,-14,-13,-14,-16,-14,-18,-15,-19,-15,-20,-16,-20,-18,-20,-18,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,1,17,-1,21,-4,23,-7,25,-10,25,-12,24,-14,22,-14,19,-13,15,-10,11,-7,8,-2,6,4,5,9,4,14,5,18,6,22,8,25,10,27,12,27,13,27,14,25,14,23,14,20,12,18,10]"""
2024-09-09 15:26:15,",8,d8:d8:66:4a:d4:1e,-44,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3358915,0,83,0,128,1,""[83,-80,4,0,-5,8,0,10,5,12,9,15,12,18,15,20,16,22,17,23,17,24,16,23,15,22,14,20,13,18,13,14,12,10,12,6,12,1,14,-3,15,-6,17,-9,18,-11,20,-12,21,-12,23,-12,23,-11,5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,-9,-12,-9,-16,-9,-20,-8,-23,-7,-26,-5,-28,-2,-28,0,-26,2,-24,3,-20,2,-16,1,-11,-2,-6,-5,-2,-10,2,-14,4,-18,6,-23,7,-26,8,-29,8,-30,7,-30,6,-29,5,-27,4,-24,3,-21,3]"""
2024-09-09 15:26:15,",9,d8:d8:66:4a:d4:1e,-44,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,3366820,0,83,0,128,1,""[83,-80,4,0,0,7,3,6,6,7,9,7,11,8,13,9,14,10,15,10,15,10,14,10,14,10,13,9,12,8,11,6,10,4,9,1,9,-1,9,-4,10,-6,10,-8,11,-9,12,-9,12,-10,13,-10,13,-10,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,-10,-2,-12,-3,-13,-5,-14,-8,-15,-10,-14,-11,-13,-13,-12,-13,-9,-12,-7,-11,-6,-9,-5,-6,-4,-3,-4,0,-5,4,-7,7,-8,9,-10,12,-12,13,-13,14,-14,14,-15,13,-14,12,-14,11,-12,9,-11,8]"""
