type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,timestamp
CSI_Data,STA,d8:d8:66:4a:d4:1e,-16,11,1,7,0,0,1,0,0,0,1,-97,0,6,0,3011241,0,83,0,128,1,128,"[83, -80, 4, 0, -16, -45, -18, -48, -22, -49, -26, -47, -29, -44, -31, -39, -30, -34, -28, -30, -25, -26, -19, -23, -13, -22, -7, -22, -1, -24, 5, -27, 9, -31, 12, -35, 14, -39, 14, -42, 14, -44, 13, -44, 11, -43, 9, -40, 8, -36, 8, -32, 8, -28, 2, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 7, -35, 28, -34, 28, -33, 26, -31, 24, -28, 21, -25, 16, -23, 10, -22, 3, -22, -4, -24, -11, -27, -17, -30, -22, -34, -26, -38, -27, -43, -27, -46, -25, -48, -22, -48, -18, -46, -15, -42, -11, -37, -9, -32, -10, -26, -12, -20, -17, -17, -22, -14, -25]",2024-09-09 17:46:39
CSI_Data,STA,d8:d8:66:4a:d4:1e,-16,11,1,7,0,0,1,0,0,0,1,-97,0,6,0,3019113,0,83,0,128,1,128,"[83, -80, 4, 0, -37, 13, -31, 10, -27, 4, -25, -2, -24, -9, -26, -15, -29, -19, -32, -22, -36, -24, -41, -23, -44, -22, -46, -19, -46, -15, -45, -12, -42, -10, -38, -9, -32, -9, -26, -9, -21, -11, -15, -15, -11, -20, -7, -24, -5, -28, -3, -32, -3, -35, -1, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 4, -8, 17, -13, 17, -20, 18, -26, 19, -31, 22, -35, 26, -37, 30, -38, 33, -37, 35, -35, 36, -31, 34, -28, 32, -25, 27, -22, 22, -21, 17, -21, 10, -23, 4, -28, -1, -33, -4, -39, -6, -45, -6, -50, -3, -54, 0, -55, 3, -55, 7, -54, 9]",2024-09-09 17:46:39
CSI_Data,STA,d8:d8:66:4a:d4:1e,-16,11,1,7,0,0,1,0,0,0,1,-97,0,6,0,3035497,0,83,0,128,1,128,"[83, -80, 4, 0, 6, 42, 3, 35, -2, 29, -7, 25, -13, 23, -20, 24, -25, 26, -29, 29, -32, 33, -32, 37, -31, 41, -28, 43, -25, 45, -21, 44, -19, 41, -16, 37, -14, 32, -14, 25, -15, 19, -18, 13, -22, 8, -26, 4, -30, 1, -34, -1, -37, -2, -10, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 15, 12, 13, 17, 12, 24, 12, 31, 14, 37, 16, 41, 20, 44, 24, 46, 27, 46, 28, 44, 28, 40, 26, 36, 23, 32, 18, 28, 13, 25, 6, 24, -1, 25, -7, 28, -11, 33, -15, 39, -15, 45, -14, 52, -12, 57, -9, 59, -5, 59, -2, 58]",2024-09-09 17:46:39
CSI_Data,STA,d8:d8:66:4a:d4:1e,-16,11,1,7,0,0,1,0,0,0,1,-97,0,6,0,3043433,0,83,0,128,1,128,"[83, -80, 4, 0, -5, -25, -2, -21, 0, -18, 3, -15, 7, -14, 11, -15, 14, -16, 16, -18, 17, -20, 17, -23, 17, -25, 15, -26, 13, -27, 11, -27, 10, -25, 9, -23, 8, -19, 8, -16, 8, -12, 10, -9, 12, -5, 15, -2, 17, -1, 19, 0, 21, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -2, -9, -8, -9, -11, -8, -15, -8, -19, -9, -23, -11, -25, -13, -27, -15, -28, -17, -28, -17, -27, -17, -24, -16, -22, -14, -19, -11, -17, -8, -15, -4, -14, 0, -15, 3, -17, 6, -20, 8, -23, 8, -27, 8, -30, 6, -33, 4, -35, 2, -35, 0, -34]",2024-09-09 17:46:39
CSI_Data,STA,d8:d8:66:4a:d4:1e,-16,11,1,7,0,0,1,0,0,0,1,-97,0,6,0,3053258,0,83,0,128,1,128,"[83, -80, 4, 0, 6, 25, 7, 27, 9, 27, 11, 26, 13, 25, 14, 23, 14, 20, 13, 17, 11, 15, 9, 13, 5, 12, 2, 12, -2, 12, -4, 14, -7, 16, -9, 18, -10, 20, -10, 22, -10, 23, -10, 23, -9, 22, -8, 21, -7, 19, -6, 16, -6, 14, -2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, -4, 20, -14, 20, -14, 19, -14, 17, -13, 16, -11, 14, -9, 12, -5, 11, -1, 11, 3, 12, 7, 13, 10, 15, 13, 17, 15, 19, 16, 21, 17, 23, 16, 24, 14, 25, 12, 24, 10, 22, 8, 19, 7, 16, 6, 13, 7, 10, 10, 7, 12, 6, 14]",2024-09-09 17:46:39
CSI_Data,STA,d8:d8:66:4a:d4:1e,-16,11,1,7,0,0,1,0,0,0,1,-97,0,6,0,3063210,0,83,0,128,1,128,"[83, -80, 4, 0, 24, 7, 27, 6, 28, 5, 29, 3, 28, 1, 27, -1, 25, -3, 22, -3, 19, -3, 16, -1, 13, 1, 11, 4, 10, 7, 10, 10, 10, 14, 11, 17, 12, 19, 13, 20, 14, 20, 15, 20, 15, 18, 14, 17, 12, 15, 11, 13, 9, 12, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7, -3, -25, -3, -25, -3, -24, -2, -22, -2, -19, -1, -17, 2, -14, 4, -12, 8, -9, 12, -8, 15, -7, 19, -7, 22, -8, 24, -9, 25, -11, 25, -13, 24, -15, 22, -16, 20, -17, 18, -16, 15, -14, 14, -12, 13, -8, 13, -4, 15, 0, 16, 2]",2024-09-09 17:46:39
CSI_Data,STA,d8:d8:66:4a:d4:1e,-16,11,1,7,0,0,1,0,0,0,1,-97,0,6,0,3070474,0,83,0,128,1,128,"[83, -80, 4, 0, 21, -15, 22, -17, 22, -19, 21, -21, 18, -22, 16, -23, 13, -22, 11, -20, 10, -17, 9, -14, 9, -10, 10, -7, 12, -4, 14, -1, 17, 1, 20, 2, 22, 2, 24, 2, 25, 2, 25, 1, 24, 1, 22, 0, 20, 1, 17, 1, 15, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -4, -22, -13, -22, -12, -21, -12, -19, -11, -17, -10, -14, -10, -11, -10, -7, -11, -3, -13, 1, -15, 4, -17, 6, -20, 7, -23, 7, -25, 6, -27, 5, -29, 3, -29, 1, -28, -1, -27, -2, -24, -2, -21, -1, -18, 2, -16, 5, -14, 9, -12, 11, -12]",2024-09-09 17:46:39
CSI_Data,STA,d8:d8:66:4a:d4:1e,-16,11,1,7,0,0,1,0,0,0,1,-97,0,6,0,3080203,0,83,0,128,1,128,"[83, -80, 4, 0, 7, 25, 8, 26, 11, 27, 13, 26, 14, 24, 15, 22, 15, 19, 14, 16, 12, 14, 9, 12, 6, 12, 2, 12, -1, 12, -4, 14, -7, 16, -8, 18, -9, 21, -10, 22, -9, 23, -9, 23, -8, 22, -7, 21, -6, 19, -6, 17, -6, 14, -2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, -4, 19, -16, 18, -15, 18, -15, 16, -14, 15, -12, 13, -9, 12, -6, 11, -2, 12, 2, 12, 6, 14, 9, 16, 12, 18, 14, 20, 15, 22, 15, 24, 14, 25, 12, 25, 10, 24, 8, 22, 7, 20, 5, 17, 5, 13, 7, 10, 9, 8, 12, 7, 14]",2024-09-09 17:46:39
CSI_Data,STA,d8:d8:66:4a:d4:1e,-16,11,1,7,0,0,1,0,0,0,1,-97,0,6,0,3088555,0,83,0,128,1,128,"[83, -80, 4, 0, -35, -31, -39, -33, -43, -32, -45, -29, -46, -25, -45, -20, -42, -16, -38, -12, -33, -11, -27, -11, -21, -14, -16, -17, -12, -21, -9, -26, -7, -31, -6, -36, -6, -41, -8, -44, -9, -45, -10, -45, -11, -43, -11, -39, -10, -36, -8, -31, -7, -28, -2, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 10, -16, 41, -16, 40, -16, 38, -14, 35, -14, 31, -14, 26, -15, 19, -17, 13, -21, 7, -26, 1, -31, -3, -36, -5, -42, -6, -46, -6, -50, -3, -52, 0, -52, 4, -50, 7, -47, 9, -42, 10, -37, 9, -32, 6, -28, 1, -25, -5, -24, -12, -24, -18]",2024-09-09 17:46:39
CSI_Data,STA,d8:d8:66:4a:d4:1e,-16,11,1,7,0,0,1,0,0,0,1,-97,0,6,0,3099499,0,83,0,128,1,128,"[83, -80, 4, 0, 18, -35, 17, -28, 17, -21, 19, -15, 23, -10, 28, -6, 33, -5, 38, -5, 42, -8, 44, -10, 45, -14, 45, -17, 43, -20, 41, -21, 37, -20, 33, -18, 29, -15, 25, -11, 22, -5, 20, 1, 19, 7, 20, 13, 21, 18, 23, 21, 24, 23, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5, -6, -18, -2, -22, 2, -27, 5, -32, 7, -38, 8, -43, 7, -47, 5, -50, 3, -51, 1, -50, -1, -47, -2, -43, -2, -37, 0, -31, 3, -26, 7, -22, 13, -19, 20, -18, 26, -19, 32, -22, 36, -26, 38, -31, 39, -36, 38, -40, 35, -42, 32, -43]",2024-09-09 17:46:39
